,2012,2012
,Obama,Romney
Men,43,51
Women,52,42
White (incl. Hispanic),/,/
Nonwhite,79,16
Non-Hispanic white,38,57
Nonwhite (incl. Hispanic),/,/
Black,89,5
Under 30 years of age,58,36
30 to 49 years,48,47
50 to 64 years,47,48
65 years and older,41,54
50 years and older,/,/
College,44,51
High school,/,/
Grade school,/,/
Postgraduate,55,41
College grad only,/,/
Some college,46,50
High school or less,50,44
East,54,40
Midwest,51,44
South,42,53
West,48,46
Urban,/,/
Suburban,/,/
Rural,/,/
Republican,/,/
Democrat,/,/
Independent,/,/
Conservative,19,77
Moderate,58,35
Liberal,87,10
Protestant,42,52
Catholic,50,44
Attend church weekly,/,/
Attend church monthly,/,/
Attend church seldom/never,/,/
Married,41,55
Not married,59,35
Married men,/,/
Married women,/,/
Unmarried men,/,/
Unmarried women,/,/
With minor children,/,/
Without minor children,/,/
Prof. and business,/,/
White collar,/,/
Manual,/,/
Union family,/,/
Veteran,/,/
Military household,/,/
Gun owner,/,/
Gun non-owner,/,/
